source,frame_id,t_frame,t_processed,obj_id,x,y,z,vr
radar,6,1762613279.7551045,1762613279.7551048,3,-3.2447597980499268,6.205269813537598,0.6489520072937012,0.0
radar,6,1762613279.7551045,1762613279.7551048,4,5.191616058349609,4.743637561798096,0.0,0.0
radar,6,1762613279.7551045,1762613279.7551048,5,-6.002805709838867,8.929070472717285,1.3339568376541138,0.0
radar,7,1762613279.8539348,1762613279.8539352,0,2.7039666175842285,3.454533576965332,0.2703966796398163,0.0
radar,7,1762613279.8539348,1762613279.8539352,1,-0.45967429876327515,4.960044860839844,0.0,0.0
radar,7,1762613279.8539348,1762613279.8539352,2,-3.2447597980499268,6.1788201332092285,0.8652693033218384,0.0
radar,7,1762613279.8539348,1762613279.8539352,3,5.191616058349609,4.738702774047852,0.2163173258304596,0.0
radar,7,1762613279.8539348,1762613279.8539352,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,8,1762613279.9530222,1762613279.9530227,0,2.9743635654449463,3.2104525566101074,0.40559500455856323,0.0
radar,8,1762613279.9530222,1762613279.9530227,1,-3.244760036468506,2.915034532546997,0.5407933592796326,0.0
radar,8,1762613279.9530222,1762613279.9530227,2,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,8,1762613279.9530222,1762613279.9530227,3,-3.0284423828125,6.28767204284668,0.8652693033218384,0.0
radar,8,1762613279.9530222,1762613279.9530227,4,4.54266357421875,5.328981399536133,0.6489520072937012,0.0
radar,8,1762613279.9530222,1762613279.9530227,5,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,9,1762613280.0550044,1762613280.0550048,0,2.9743635654449463,3.2104525566101074,0.40559500455856323,0.0
radar,9,1762613280.0550044,1762613280.0550048,1,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,9,1762613280.0550044,1762613280.0550048,2,5.407933235168457,4.490260601043701,0.2163173258304596,0.0
radar,9,1762613280.0550044,1762613280.0550048,3,-3.2447597980499268,6.144646644592285,1.0815867185592651,0.0
radar,9,1762613280.0550044,1762613280.0550048,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,10,1762613280.15362,1762613280.1536202,0,2.7039666175842285,3.4412801265716553,0.40559500455856323,0.0
radar,10,1762613280.15362,1762613280.1536202,1,-3.5151567459106445,2.582550525665283,0.5407933592796326,0.0
radar,10,1762613280.15362,1762613280.1536202,2,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,10,1762613280.15362,1762613280.1536202,3,6.4895195960998535,2.7007994651794434,-0.2163173258304596,0.0
radar,10,1762613280.15362,1762613280.1536202,4,-2.5958080291748047,6.5035080909729,0.6489520072937012,0.0
radar,10,1762613280.15362,1762613280.1536202,5,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
